Length	Score	ID	Pvalue	Qvalues
28	-10.6187582496	119539	0.996	0.675712347354
28	10.2119889469	142419	0.049	0.304407713499
28	9.47574631002	149806	0.058	0.315830721003
28	-3.53888919844	161055	0.726	0.613636363636
28	-5.69392753704	205244	0.857	0.640089418778
28	-1.04023521028	[105927, 105926]	0.527	0.596569139673
28	-0.835718857077	[106002, 105949]	0.515	0.592052048532
28	6.62517320377	[106082, 106080]	0.119	0.371840354767
28	12.1174006431	[106497, 106469]	0.027	0.27990430622
28	12.1174006431	[106497, 106469, 106468]	0.027	0.27990430622
28	-3.53888919844	[161055, 161054]	0.726	0.613636363636
29	1.88422589095	82931	0.325	0.518772136954
29	8.42628128452	82978	0.073	0.329285218598
29	-4.11982936876	83037	0.768	0.61828090166
29	5.52586076775	83084	0.158	0.404698242934
29	-6.78306674639	105923	0.92	0.663426488457
29	-0.288282070617	106057	0.479	0.582415531081
29	-4.75790969756	106204	0.819	0.632565867553
29	4.17633978064	119535	0.199	0.433616742969
29	-3.94989073496	[161055, 161054, 161053]	0.756	0.613636363636
29	-3.94989073496	[161055, 161054, 161053, 161051]	0.756	0.613636363636
30	-0.0122410298045	82930	0.472	0.582345191041
30	-0.719339016106	83021	0.525	0.596569139673
30	6.78655386008	83125	0.121	0.371840354767
30	7.1186261526	101144	0.113	0.366883116883
30	6.57484145555	105778	0.129	0.371840354767
30	-5.39578468572	105789	0.853	0.640089418778
30	8.99233022697	105957	0.07	0.323153409091
30	7.50017447074	106013	0.104	0.354545454545
30	6.49399716451	106015	0.13	0.372903795234
30	-1.08538643299	106262	0.558	0.602536997886
30	-4.72682755651	106380	0.807	0.62905737214
30	-9.79866619413	106494	0.983	0.672201786653
30	6.55168807647	106573	0.129	0.371840354767
30	6.72777538506	119527	0.122	0.371840354767
30	0.973770066329	161043	0.388	0.545887445887
31	8.14967873092	83004	0.078	0.335840418574
31	-3.46308095629	101142	0.725	0.613636363636
31	-2.18461158157	105884	0.634	0.613636363636
31	-2.18995634678	106328	0.634	0.613636363636
31	11.1985649288	106338	0.031	0.282225237449
31	9.19996933969	106405	0.051	0.304407713499
31	12.0474445778	106467	0.026	0.27990430622
31	11.4286152338	119553	0.026	0.27990430622
31	1.84889071894	161075	0.329	0.518772136954
31	-1.82143367184	169346	0.607	0.613636363636
31	-2.49810530168	187100	0.653	0.613636363636
31	5.39808138242	187102	0.154	0.399122807018
31	1.80131193617	194384	0.338	0.518772136954
31	13.3705437213	[105963, 105962]	0.018	0.247357293869
31	7.04247600021	[106013, 106011]	0.105	0.354545454545
32	-2.12176808588	82949	0.596	0.612490118577
32	-0.257894385848	83043	0.469	0.582345191041
32	-4.58672939215	106518	0.785	0.625996810207
32	2.72768541043	169349	0.277	0.491536991537
33	-3.76240042868	83057	0.729	0.613636363636
33	9.17892413169	105678	0.056	0.315151515152
33	10.8757085678	105964	0.032	0.282225237449
33	4.84466561232	106014	0.172	0.414842300557
33	0.130826731221	106097	0.454	0.582345191041
33	-2.12284037323	106144	0.616	0.613636363636
33	-2.48078183066	106265	0.639	0.613636363636
33	21.0104153298	161035	0.003	0.118181818182
33	10.8757085678	[105964, 105963]	0.032	0.282225237449
33	4.84466561232	[106014, 106007]	0.172	0.414842300557
34	-0.685330428656	82959	0.534	0.598684210526
34	3.05178073986	83033	0.284	0.492140424417
34	-5.99808507943	83039	0.859	0.640089418778
34	-0.527526518021	83121	0.526	0.596569139673
